game_id,epa
2019090802,28.801524714367744
2019091510,14.364990030235179
2019092204,22.70407033179446
2019092903,4.758596999542767
2019100612,-3.5054692810511217
2019101304,3.5898112431684046
2019101700,0.4123767316720781
2019102712,6.418160490131018
2019110303,6.321318474583402
2019111007,11.079394266881053
2019111800,2.8659959694528676
2019120105,15.8987878588872
2019120811,-4.093171383827262
2019121504,14.88887421985175
2019122214,19.255270806257137
2019122908,20.761270659986177
